Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-03-07 11:00:00,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Friday,MISSION,NONE,13TH ST / SOUTH VAN NESS AV,-122.41775670860001,37.769814236013204
2003-03-07 11:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,MISSION,NONE,MISSION ST / 24TH ST,-122.418448186109,37.752239165267
2003-03-07 11:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,RICHMOND,NONE,200 Block of 4TH AV,-122.462415303344,37.783951474920286
2003-03-07 11:00:00,MISSING PERSON,MISSING ADULT,Friday,PARK,LOCATED,0 Block of CASTRO ST,-122.435637436721,37.7681694346175
2003-03-07 11:00:00,SECONDARY CODES,JUVENILE INVOLVED,Friday,INGLESIDE,LOCATED,1000 Block of CAYUGA AV,-122.44000661153099,37.721804883554704
2003-03-07 10:55:00,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Friday,MISSION,NONE,24TH ST / HAMPSHIRE ST,-122.407294221812,37.7529064152272
2003-03-07 10:50:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-03-07 10:45:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, CITED",0 Block of GORDON ST,-122.41000850664,37.7731725086508
2003-03-07 10:44:00,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN,Friday,BAYVIEW,"ARREST, BOOKED",300 Block of BARNEVELD AV,-122.40330744348,37.7425552706397
2003-03-07 10:44:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,BAYVIEW,"ARREST, BOOKED",300 Block of BARNEVELD AV,-122.40330744348,37.7425552706397
2003-03-07 10:44:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,NORTHERN,NONE,1600 Block of BUSH ST,-122.424442028878,37.7882271832363
2003-03-07 10:40:00,NON-CRIMINAL,"AIDED CASE, DOG BITE",Friday,INGLESIDE,"ARREST, CITED",800 Block of MOSCOW ST,-122.432613921007,37.7147601703319
2003-03-07 10:35:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,"ARREST, CITED",22ND ST / MISSION ST,-122.418748733531,37.755437187514296
2003-03-07 10:32:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415533007999,37.7821372997842
2003-03-07 10:32:00,WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415533007999,37.7821372997842
2003-03-07 10:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,MISSION,"ARREST, BOOKED",18TH ST / CAPP ST,-122.41827216643,37.761902961306795
2003-03-07 10:30:00,MISSING PERSON,MISSING JUVENILE,Friday,INGLESIDE,NONE,500 Block of TOMPKINS AV,-122.41315670309099,37.7371067513459
2003-03-07 10:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,INGLESIDE,NONE,NAHUA AV / MT VERNON AV,-122.448448500263,37.718407215369204
2003-03-07 10:30:00,ROBBERY,"ROBBERY, BODILY FORCE",Friday,CENTRAL,NONE,700 Block of SANSOME ST,-122.402043557609,37.7971874633378
2003-03-07 10:30:00,MISSING PERSON,FOUND PERSON,Friday,INGLESIDE,NONE,500 Block of TOMPKINS AV,-122.41315670309099,37.7371067513459
2003-03-07 10:30:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, CITED",1100 Block of STEVENSON ST,-122.41994645627199,37.7737472531198
2003-03-07 10:30:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Friday,MISSION,"ARREST, BOOKED",16TH ST / JULIAN AV,-122.420901749464,37.7649778918081
2003-03-07 10:30:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, CITED",1100 Block of STEVENSON ST,-122.41994645627199,37.7737472531198
2003-03-07 10:20:00,ASSAULT,THREATS AGAINST LIFE,Friday,TENDERLOIN,"ARREST, BOOKED",200 Block of EDDY ST,-122.411778295992,37.7839805592634
2003-03-07 10:15:00,WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403793259489,37.7823235897616
2003-03-07 10:15:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403793259489,37.7823235897616
2003-03-07 10:08:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,INGLESIDE,NONE,400 Block of ALEMANY BL,-122.41633673193,37.7324126921971
2003-03-07 10:04:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,MISSION,"ARREST, BOOKED",MISSION ST / 17TH ST,-122.419515708414,37.76342923285421
2003-03-07 10:04:00,WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED",MISSION ST / 17TH ST,-122.419515708414,37.76342923285421
2003-03-07 10:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-03-07 10:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.416710733848,37.7833570390935
2003-03-07 10:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,MISSION,NONE,COLLINGWOOD ST / 18TH ST,-122.436115302015,37.760822839672606
2003-03-07 10:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,TARAVAL,NONE,100 Block of CAMBON DR,-122.47417098982599,37.7166569724342
2003-03-07 10:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,MISSION,NONE,COLLINGWOOD ST / 18TH ST,-122.436115302015,37.760822839672606
2003-03-07 10:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,NORTHERN,NONE,2400 Block of FILBERT ST,-122.439793801245,37.7974418348099
2003-03-07 10:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,NORTHERN,NONE,2400 Block of FILBERT ST,-122.439793801245,37.7974418348099
2003-03-07 10:00:00,MISSING PERSON,MISSING JUVENILE,Friday,TARAVAL,LOCATED,100 Block of HOWTH ST,-122.450468790175,37.721410765689505
2003-03-07 10:00:00,WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.416710733848,37.7833570390935
2003-03-07 10:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE,400 Block of MANSELL ST,-122.406079770608,37.72041061847521
2003-03-07 09:40:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,CENTRAL,NONE,600 Block of POST ST,-122.412032359787,37.787885489615505
2003-03-07 09:35:00,NON-CRIMINAL,AIDED CASE,Friday,NORTHERN,NONE,1500 Block of POLK ST,-122.420713728356,37.791054571840796
2003-03-07 09:30:00,NON-CRIMINAL,LOST PROPERTY,Friday,BAYVIEW,NONE,SILVER AV / QUESADA AV,-122.39766804047599,37.7368659890584
2003-03-07 09:30:00,NON-CRIMINAL,LOST PROPERTY,Friday,INGLESIDE,NONE,29TH ST / MISSION ST,-122.420896598743,37.7440381549474
2003-03-07 09:30:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Friday,TARAVAL,NONE,100 Block of BRIGHTON AV,-122.455191970394,37.7209593589555
2003-03-07 09:26:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TENDERLOIN,"ARREST, BOOKED",TAYLOR ST / EDDY ST,-122.410955248913,37.7841399509365
2003-03-07 09:25:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Friday,INGLESIDE,NONE,200 Block of CHENERY ST,-122.42600278808399,37.738652783614896
2003-03-07 09:10:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,CENTRAL,NONE,1200 Block of BUSH ST,-122.41786264612401,37.7890622568065
2003-03-07 09:10:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,CENTRAL,NONE,1200 Block of BUSH ST,-122.41786264612401,37.7890622568065
2003-03-07 09:05:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,MISSION,"ARREST, CITED",3000 Block of 22ND ST,-122.41492520881201,37.755612019074505
2003-03-07 09:05:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,"ARREST, CITED",3000 Block of 22ND ST,-122.41492520881201,37.755612019074505
2003-03-07 09:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,TENDERLOIN,NONE,500 Block of EDDY ST,-122.41673216309601,37.783465567448
2003-03-07 09:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,TENDERLOIN,NONE,500 Block of EDDY ST,-122.41673216309601,37.783465567448
2003-03-07 09:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-03-07 09:00:00,FRAUD,"CREDIT CARD, THEFT OF",Friday,NORTHERN,NONE,1800 Block of SUTTER ST,-122.430791511808,37.7864562307955
2003-03-07 09:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,NORTHERN,NONE,1800 Block of SUTTER ST,-122.430791511808,37.7864562307955
2003-03-07 08:50:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Friday,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.414056291898,37.7827931070777
2003-03-07 08:50:00,OTHER OFFENSES,PAROLE VIOLATION,Friday,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.414056291898,37.7827931070777
2003-03-07 08:45:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,SOUTHERN,NONE,BEALE ST / MARKET ST,-122.397387796134,37.79240473193961
2003-03-07 08:40:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TENDERLOIN,"ARREST, CITED",500 Block of ELLIS ST,-122.414615262229,37.784689282473
2003-03-07 08:32:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,MISSION,"ARREST, CITED",0 Block of DUBOCE AV,-122.42083874134799,37.7701200909336
2003-03-07 08:30:00,MISSING PERSON,MISSING JUVENILE,Friday,PARK,NONE,1300 Block of FULTON ST,-122.439037573428,37.776802154003896
2003-03-07 08:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,CENTRAL,NONE,700 Block of COLUMBUS AV,-122.41192602855601,37.8015780997553
2003-03-07 08:30:00,FRAUD,FRAUDULENT CREDIT APPLICATION,Friday,NORTHERN,PROSECUTED BY OUTSIDE AGENCY,1600 Block of CHESTNUT ST,-122.43049391034201,37.801493188150395
2003-03-07 08:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,SOUTHERN,NONE,100 Block of 2ND ST,-122.398972966106,37.7874298723673
2003-03-07 08:30:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 08:30:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 08:27:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,MISSION,NONE,3100 Block of CESAR CHAVEZ ST,-122.412594354828,37.748166005622295
2003-03-07 08:27:00,KIDNAPPING,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM",Friday,MISSION,NONE,3100 Block of CESAR CHAVEZ ST,-122.412594354828,37.748166005622295
2003-03-07 08:26:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,RICHMOND,NONE,500 Block of JOHN F KENNEDY DR,-122.46620466789301,37.7725405391593
2003-03-07 08:25:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, CITED",0 Block of ELGIN PARK,-122.423155228838,37.770641894603706
2003-03-07 08:25:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,SOUTHERN,"ARREST, CITED",900 Block of JESSIE ST,-122.416685638738,37.77558455242049
2003-03-07 08:18:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, CITED",300 Block of DORE ST,-122.408395085045,37.7701525825183
2003-03-07 08:15:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,MISSION,"ARREST, CITED",21ST ST / SHOTWELL ST,-122.41562933245301,37.7572322279186
2003-03-07 08:15:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,"ARREST, CITED",21ST ST / SHOTWELL ST,-122.41562933245301,37.7572322279186
2003-03-07 08:15:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, CITED",900 Block of JESSIE ST,-122.416685638738,37.77558455242049
2003-03-07 08:15:00,BURGLARY,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY",Friday,MISSION,NONE,0 Block of JERSEY ST,-122.425657990961,37.750943003006796
2003-03-07 08:10:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Friday,SOUTHERN,"ARREST, BOOKED",400 Block of BRANNAN ST,-122.395985970867,37.77883482056821
2003-03-07 08:10:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, CITED",300 Block of DORE ST,-122.408395085045,37.7701525825183
2003-03-07 08:03:00,WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2003-03-07 08:03:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2003-03-07 08:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,BAYVIEW,NONE,100 Block of UNIVERSITY ST,-122.414637633249,37.728062865039895
2003-03-07 08:00:00,MISSING PERSON,MISSING JUVENILE,Friday,TARAVAL,LOCATED,0 Block of THRIFT ST,-122.45531874616002,37.717428249952505
2003-03-07 08:00:00,FRAUD,"FORGERY, CREDIT CARD",Friday,RICHMOND,NONE,3200 Block of GEARY BL,-122.45370298069099,37.7817840733425
2003-03-07 08:00:00,MISSING PERSON,MISSING JUVENILE,Friday,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.412465904842,37.7352383622147
2003-03-07 08:00:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,MISSION,"ARREST, CITED",3100 Block of 21ST ST,-122.41727097553301,37.7571885589512
2003-03-07 08:00:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,"ARREST, CITED",3100 Block of 21ST ST,-122.41727097553301,37.7571885589512
2003-03-07 08:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,INGLESIDE,NONE,0 Block of ITALY AV,-122.439171429262,37.7182459850487
2003-03-07 08:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, CITED",MISSION ST / 7TH ST,-122.410939205559,37.7792122589856
2003-03-07 08:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,TARAVAL,NONE,400 Block of RALSTON ST,-122.468893816576,37.7206738011409
2003-03-07 07:55:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,CENTRAL,NOT PROSECUTED,0 Block of VANDEWATER ST,-122.412692501299,37.8052004417085
2003-03-07 07:45:00,ASSAULT,THREATS AGAINST LIFE,Friday,RICHMOND,NONE,10TH AV / BALBOA ST,-122.468294298473,37.7770379899452
2003-03-07 07:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,TARAVAL,NONE,SLOAT BL / JUNIPERO SERRA BL,-122.47156922411502,37.7347048536985
2003-03-07 07:40:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 07:40:00,NON-CRIMINAL,COURTESY REPORT,Friday,SOUTHERN,NONE,1600 Block of MISSION ST,-122.41910574075199,37.7719857711361
2003-03-07 07:40:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 07:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TENDERLOIN,"ARREST, CITED",0 Block of EDDY ST,-122.40891208737,37.7844552383777
2003-03-07 07:30:00,WARRANTS,WARRANT ARREST,Friday,TARAVAL,"ARREST, BOOKED",200 Block of LAKEVIEW AV,-122.452314111866,37.7171347926505
2003-03-07 07:30:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Friday,SOUTHERN,"ARREST, CITED",1100 Block of MISSION ST,-122.41172377812599,37.7786674439132
2003-03-07 07:30:00,MISSING PERSON,MISSING JUVENILE,Friday,PARK,NONE,1200 Block of PAGE ST,-122.44139370111401,37.771727314177106
2003-03-07 07:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,"ARREST, CITED",2300 Block of 16TH ST,-122.40951946514099,37.7656088991582
2003-03-07 07:30:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, CITED",1100 Block of MISSION ST,-122.41172377812599,37.7786674439132
2003-03-07 07:29:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, BOOKED",1200 Block of MISSION ST,-122.41436013877899,37.776430169375104
2003-03-07 07:25:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,MISSION,"ARREST, CITED",17TH ST / FOLSOM ST,-122.415155941062,37.763697930892796
2003-03-07 07:25:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,"ARREST, CITED",17TH ST / FOLSOM ST,-122.415155941062,37.763697930892796
2003-03-07 07:15:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,TARAVAL,NONE,SUNSET BL / JUDAH ST,-122.495750660001,37.7608719682985
2003-03-07 07:10:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, CITED",0 Block of CLEMENTINA ST,-122.396187248007,37.786866145045096
2003-03-07 07:05:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 07:05:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 07:00:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,SOUTHERN,"ARREST, BOOKED",100 Block of NATOMA ST,-122.399826049876,37.786300758747295
2003-03-07 07:00:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of CLEMENTINA ST,-122.395351491841,37.7873695918922
2003-03-07 07:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,0 Block of 1ST ST,-122.39842363798799,37.7903612472591
2003-03-07 07:00:00,WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of CLEMENTINA ST,-122.395351491841,37.7873695918922
2003-03-07 07:00:00,WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",100 Block of NATOMA ST,-122.399826049876,37.786300758747295
2003-03-07 07:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,CENTRAL,NONE,JONES ST / GREEN ST,-122.415573641111,37.7986812884144
2003-03-07 07:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,MISSION,NONE,500 Block of PORTOLA DR,-122.451320967694,37.745804063550295
2003-03-07 07:00:00,MISSING PERSON,MISSING JUVENILE,Friday,INGLESIDE,NONE,900 Block of GIRARD ST,-122.401758171192,37.7207363160972
2003-03-07 07:00:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of CLEMENTINA ST,-122.395351491841,37.7873695918922
2003-03-07 06:58:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,MISSION,"ARREST, CITED",19TH ST / CAPP ST,-122.41812008649799,37.7603012340443
2003-03-07 06:56:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,CENTRAL,"ARREST, BOOKED",POST ST / HYDE ST,-122.416642370012,37.787245037792
2003-03-07 06:50:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, CITED",100 Block of NATOMA ST,-122.399826049876,37.786300758747295
2003-03-07 06:45:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Friday,SOUTHERN,"ARREST, CITED",100 Block of NATOMA ST,-122.399826049876,37.786300758747295
2003-03-07 06:35:00,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Friday,CENTRAL,NONE,700 Block of VALLEJO ST,-122.409756983696,37.7984014140477
2003-03-07 06:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,TENDERLOIN,NONE,200 Block of POWELL ST,-122.40820165725401,37.7868849113107
2003-03-07 06:30:00,NON-CRIMINAL,LOST PROPERTY,Friday,MISSION,NONE,0 Block of SAN CARLOS ST,-122.420240257606,37.7622234541197
2003-03-07 06:05:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",HYDE ST / ELLIS ST,-122.416075285059,37.78444966125621
2003-03-07 06:05:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 06:05:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",HYDE ST / ELLIS ST,-122.416075285059,37.78444966125621
2003-03-07 06:05:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 06:05:00,WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
2003-03-07 06:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,"ARREST, BOOKED",0 Block of NATOMA ST,-122.397662188962,37.78802600646139
2003-03-07 06:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,PARK,NONE,100 Block of LOCKSLEY AV,-122.463082794078,37.7577363372928
2003-03-07 06:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,NONE,200 Block of NATOMA ST,-122.400572796066,37.785884178881
2003-03-07 05:45:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",HYDE ST / ELLIS ST,-122.416075285059,37.78444966125621
2003-03-07 05:45:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,NORTHERN,NONE,2100 Block of BUCHANAN ST,-122.430714047833,37.7897885529974
2003-03-07 05:45:00,ASSAULT,BATTERY,Friday,BAYVIEW,NONE,800 Block of MICHIGAN ST,-122.38639760713,37.7593253079339
2003-03-07 05:45:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, CITED",HYDE ST / ELLIS ST,-122.416075285059,37.78444966125621
2003-03-07 05:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,PARK,NONE,1900 Block of HAYES ST,-122.448511700788,37.7735725810079
2003-03-07 05:26:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,NORTHERN,NONE,2300 Block of BUCHANAN ST,-122.43107316900699,37.79156871030021
2003-03-07 04:51:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Friday,PARK,NONE,1700 Block of FELL ST,-122.446726162102,37.77294518675
2003-03-07 04:38:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,"ARREST, BOOKED",24TH ST / SHOTWELL ST,-122.41517366580901,37.75244075899629
2003-03-07 04:00:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Friday,PARK,NONE,500 Block of DIVISADERO ST,-122.43782276166,37.7745216483936
2003-03-07 03:30:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Friday,NORTHERN,NONE,GREENWICH ST / LAGUNA ST,-122.430939617966,37.799578888289396
2003-03-07 03:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Friday,NORTHERN,NONE,GREENWICH ST / LAGUNA ST,-122.430939617966,37.799578888289396
2003-03-07 03:00:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Friday,CENTRAL,NONE,GEARY ST / STOCKTON ST,-122.40659226980301,37.7875673012826
2003-03-07 03:00:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,CENTRAL,NONE,GEARY ST / STOCKTON ST,-122.40659226980301,37.7875673012826
2003-03-07 02:42:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,MISSION,"ARREST, BOOKED",23RD ST / SHOTWELL ST,-122.41532199552799,37.75403431110861
2003-03-07 02:42:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Friday,MISSION,"ARREST, BOOKED",23RD ST / SHOTWELL ST,-122.41532199552799,37.75403431110861
2003-03-07 02:38:00,NON-CRIMINAL,FOUND PROPERTY,Friday,BAYVIEW,NONE,OAKDALE AV / BALDWIN CT,-122.38140097143601,37.7294904424737
2003-03-07 02:36:00,OTHER OFFENSES,FALSE REPORT OF CRIME,Friday,TARAVAL,NONE,500 Block of DEWEY BL,-122.462604442901,37.7446809495107
2003-03-07 02:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,2300 Block of CECILIA AV,-122.472147863977,37.744430900314995
2003-03-07 02:30:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,NORTHERN,NONE,2400 Block of VAN NESS AV,-122.424060357638,37.7980723406312
2003-03-07 02:15:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,NORTHERN,NONE,3100 Block of FILLMORE ST,-122.43575101831,37.79872821788229
